TAXAID	NAME	TAXALEVEL	PARENT_TAXA_ID
32068	Sebaldella	genus	1129771
335058	Pelomonas	genus	80864
Not Mapped	 Lactobacillaceae 		
Not Mapped	 Bradyrhizobium 		
85020	Dermabacteraceae	family	85006
Not Mapped	Clostridiales_Incertae Sedis XI		
75984	Mannheimia	genus	712
Not Mapped	 Herbaspirillum 		
84036	Syntrophococcus	genus	186803
83766	Propionivibrio	genus	75787
Not Mapped	 Fusobacteriaceae 		
Not Mapped	 Burkholderia 		
200643	Bacteroidetes	class	976
Not Mapped	 root 		
Not Mapped	 Sphingomonadales 		
Not Mapped	 Moryella 		
82800	Desemzia	genus	186828
Not Mapped	 Rhodobacterales 		
Not Mapped	 Actinomycineae 		
213115	Desulfovibrionales	order	28221
629395	Bacteria	genus	524136
